"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"70" 22 12 31498.09917777 -1222.17026651485
"71" 24 12 31498.09917777 97.4208086015396
"72" 26 12 31498.09917777 -531.427831492603
"73" 16 12 33597.27273177 -4304.3642293932
"74" 18 12 33597.27273177 -2584.96268024855
"75" 19 12 33597.27273177 -2640.03163064401
"76" 20 12 33597.27273177 -2423.45831090555
"77" 21 12 33597.27273177 -2785.20812118061
"78" 22 12 33597.27273177 -2205.22934435409
"79" 24 12 33597.27273177 -596.824094565975
"80" 26 12 33597.27273177 -1095.17544376947
"81" 16 12 36179.25620319 -3867.03963363293
"82" 18 12 36179.25620319 -1904.44588400718
"83" 19 12 36179.25620319 -1666.24093042237
"84" 20 12 36179.25620319 -1505.8994766777
"85" 21 12 36179.25620319 -1897.25899519901
"86" 22 12 36179.25620319 -1212.63339038264
"87" 24 12 36179.25620319 278.339713011197
"88" 26 12 36179.25620319 -199.616003942958
"89" 16 12 38215.45455057 -4362.38989720939
"90" 18 12 38215.45455057 -2286.06748259573
"91" 19 12 38215.45455057 -2331.79933136715
"92" 20 12 38215.45455057 -2145.47010578999
"93" 21 12 38215.45455057 -2487.26710760826
"94" 22 12 38215.45455057 -1868.52295215219
"95" 24 12 38215.45455057 -469.255050324877
"96" 26 12 38215.45455057 -881.734252493211
"97" 16 12 41259.25620387 -3424.81048578866
"98" 18 12 41259.25620387 -1312.33682054533
"99" 19 12 41259.25620387 -1514.3686336635
"100" 20 12 41259.25620387 -1468.4074644453
"101" 21 12 41259.25620387 -1792.05691723805
"102" 22 12 41259.25620387 -1303.4764151157
"103" 24 12 41259.25620387 -264.854561216488
"104" 26 12 41259.25620387 -853.763550964864
"105" 16 12 42602.72727843 -4315.04287453027
"106" 18 12 42602.72727843 -2375.29036969013
"107" 19 12 42602.72727843 -2619.55556690997
"108" 20 12 42602.72727843 -2500.50520208329
"109" 21 12 42602.72727843 -2662.27721491077
"110" 22 12 42602.72727843 -2342.3695531948
"111" 24 12 42602.72727843 -1246.55263972671
"112" 26 12 42602.72727843 -1770.06728737296
"113" 16 12 46192.31405577 -2547.23118635401
"114" 18 12 46192.31405577 -621.655561079516
"115" 19 12 46192.31405577 -1157.83566469847
"116" 20 12 46192.31405577 -1384.3502703822
"117" 21 12 46192.31405577 -1696.6012403939
"118" 22 12 46192.31405577 -1504.22258308307
"119" 24 12 46192.31405577 -656.484480089733
"120" 26 12 46192.31405577 -1037.23779027461
"121" 16 12 49341.07438677 -1709.40989006169
"122" 18 12 49341.07438677 -5.57875946704177
"123" 19 12 49341.07438677 -475.862855050981
"124" 20 12 49341.07438677 -747.281742827378
"125" 21 12 49341.07438677 -948.281650755238
"126" 22 12 49341.07438677 -684.45326301834
"127" 24 12 49341.07438677 189.931376529532
"128" 26 12 49341.07438677 -128.659551982123
"129" 16 12 52489.83471777 -2103.40387599902
"130" 18 12 52489.83471777 -408.89326701321
"131" 19 12 52489.83471777 -929.930092394959
"132" 20 12 52489.83471777 -1215.19315643886
"133" 21 12 52489.83471777 -1284.84255792207
"134" 22 12 52489.83471777 -1020.25109546556
"135" 24 12 52489.83471777 -217.435511911986
"136" 26 12 52489.83471777 -415.616204628906
"137" 16 12 58787.35537977 -2282.7332092003
"138" 18 12 58787.35537977 -634.256489141795
"139" 19 12 58787.35537977 -938.7887618098
"140" 20 12 58787.35537977 -1163.44961477193
"141" 21 12 58787.35537977 -1171.44342254392
"142" 22 12 58787.35537977 -975.838038208003
"143" 24 12 58787.35537977 -406.675764778632
"144" 26 12 58787.35537977 -639.703183982889
"145" 16 12 67184.04959577 -4106.48875353972
"146" 18 12 67184.04959577 -2426.61163929396
"147" 19 12 67184.04959577 -2456.19900933308
"148" 20 12 67184.04959577 -2749.41588763261
"149" 21 12 67184.04959577 -2876.576560966
"150" 22 12 67184.04959577 -2502.63343715284
"151" 24 12 67184.04959577 -1822.84661936686
"152" 26 12 67184.04959577 -1998.8114102418
"153" 16 12 96572.47935177 2184.26313427073
"154" 18 12 96572.47935177 4144.31366003738
"155" 19 12 96572.47935177 4207.88673651197
"156" 20 12 96572.47935177 3234.57221466462
"157" 21 12 96572.47935177 3243.68958818244
"158" 22 12 96572.47935177 3536.08927520072
"159" 24 12 96572.47935177 3508.97044830068
"160" 26 12 96572.47935177 3735.2375119175
"161" 20 7 0 -1081.5770037968
"162" 20 9 0 -1240.80518770445
"163" 20 10 0 -1128.85291669462
"164" 20 11 0 -252.70345737177
"165" 20 12 0 399.868504346552
"166" 20 13 0 1329.88763520637
"167" 20 14 0 602.547128991801
"168" 20 15 0 482.303584630671
"169" 20 16 0 5007.21519002708
"170" 20 17 0 5311.42187119776
"171" 20 7 6308.01652977 -5178.85735640327
"172" 20 9 6308.01652977 -6281.24690948783
"173" 20 10 6308.01652977 -6576.75279911811
"174" 20 11 6308.01652977 -6083.97158903275
"175" 20 12 6308.01652977 -6232.2925088082
"176" 20 13 6308.01652977 -4896.30975888705
"177" 20 14 6308.01652977 -5435.40190315134
"178" 20 15 6308.01652977 -5858.10359490252
"179" 20 16 6308.01652977 -220.989618811526
"180" 20 17 6308.01652977 450.872931237915
"181" 20 7 14200.90909281 -3207.9243315473
"182" 20 9 14200.90909281 -3769.56673986371
"183" 20 10 14200.90909281 -3853.39597802292
"184" 20 11 14200.90909281 -2879.06293799599
"185" 20 12 14200.90909281 -2341.28913364138
"186" 20 13 14200.90909281 -1046.48736586256
"187" 20 14 14200.90909281 -1924.5420020699
"188" 20 15 14200.90909281 -3107.46826685908
"189" 20 16 14200.90909281 2745.92111270474
"190" 20 17 14200.90909281 2609.05330001047
"191" 20 7 18567.19008513 -2721.47169428615
"192" 20 9 18567.19008513 -3210.64894732198
"193" 20 10 18567.19008513 -3308.16376059982
"194" 20 11 18567.19008513 -2207.90154195546
"195" 20 12 18567.19008513 -1558.95485441996
"196" 20 13 18567.19008513 -300.461456978657
"197" 20 14 18567.19008513 -1188.51591082539
"198" 20 15 18567.19008513 -2326.2956674614
"199" 20 16 18567.19008513 3795.01094992422
"200" 20 17 18567.19008513 3159.14321949043
"201" 20 7 21002.23140777 -2852.70157549329
"202" 20 9 21002.23140777 -3216.84009181984
"203" 20 10 21002.23140777 -3350.46249972794
"204" 20 11 21002.23140777 -2214.8212262722
"205" 20 12 21002.23140777 -1694.73895989314
"206" 20 13 21002.23140777 -280.421000355667
"207" 20 14 21002.23140777 -1088.57778650758
"208" 20 15 21002.23140777 -2186.29828785745
"209" 20 16 21002.23140777 4000.45710667247
"210" 20 17 21002.23140777 2909.86627353477
"211" 20 7 24675.78512727 -2643.55715510094
"212" 20 9 24675.78512727 -2965.78955952421
"213" 20 10 24675.78512727 -2591.47838100367
"214" 20 11 24675.78512727 -1302.35143769829
"215" 20 12 24675.78512727 -754.565607991374
"216" 20 13 24675.78512727 1034.93456819392
"217" 20 14 24675.78512727 -28.1425582922231
"218" 20 15 24675.78512727 -870.840092405209
"219" 20 16 24675.78512727 4993.06438231451
"220" 20 17 24675.78512727 3231.07269062593
"221" 20 7 27089.83471437 -3111.4284433782
"222" 20 9 27089.83471437 -3471.59482791041
"223" 20 10 27089.83471437 -3616.94332976081
"224" 20 11 27089.83471437 -2270.24406211823
"225" 20 12 27089.83471437 -1532.71913123588
"226" 20 13 27089.83471437 -106.32301073957
"227" 20 14 27089.83471437 -1301.91545741621
"228" 20 15 27089.83471437 -2384.15945479283
"229" 20 16 27089.83471437 4137.41801906924
"230" 20 17 27089.83471437 2450.40887317579
"231" 20 7 29398.92562377 -3500.38706912155
"232" 20 9 29398.92562377 -3906.79631166698
"233" 20 10 29398.92562377 -4077.18481478337
"234" 20 11 29398.92562377 -2743.43123357726
"235" 20 12 29398.92562377 -2153.69643128746
"236" 20 13 29398.92562377 -748.801430952493
"237" 20 14 29398.92562377 -1826.49087410496
"238" 20 15 29398.92562377 -2860.51996125223
"239" 20 16 29398.92562377 3373.69839984575
"240" 20 17 29398.92562377 2065.51450797192
"241" 20 7 31498.09917777 -3078.30160106287
"242" 20 9 31498.09917777 -3218.46480900768
"243" 20 10 31498.09917777 -3487.96624166893
"244" 20 11 31498.09917777 -2138.99003523957
"245" 20 12 31498.09917777 -1353.58467371729
"246" 20 13 31498.09917777 86.150383874463
"247" 20 14 31498.09917777 -931.350781512683
"248" 20 15 31498.09917777 -2017.25059565924
"249" 20 16 31498.09917777 4226.33122712633
"250" 20 17 31498.09917777 2714.17632318172
"251" 20 7 33597.27273177 -3657.60750238602
"252" 20 9 33597.27273177 -4228.86676827767
"253" 20 10 33597.27273177 -4520.25973181545
"254" 20 11 33597.27273177 -3079.1892616796
"255" 20 12 33597.27273177 -2423.45831090555
"256" 20 13 33597.27273177 -1062.18467496887
"257" 20 14 33597.27273177 -2119.58017188865
"258" 20 15 33597.27273177 -2956.09880214102
"259" 20 16 33597.27273177 3270.01177572251
"260" 20 17 33597.27273177 2285.52390090449
"261" 20 7 36179.25620319 -3263.64061745386
"262" 20 9 36179.25620319 -3584.83436802782
"263" 20 10 36179.25620319 -3761.23475815729
"264" 20 11 36179.25620319 -2248.9284047329
"265" 20 12 36179.25620319 -1505.8994766777
"266" 20 13 36179.25620319 96.4572072705608
"267" 20 14 36179.25620319 -1220.69912096811
"268" 20 15 36179.25620319 -1866.246011099
"269" 20 16 36179.25620319 4364.66377891814
"270" 20 17 36179.25620319 3146.02108348045
"271" 20 7 38215.45455057 -3920.23628606796
"272" 20 9 38215.45455057 -4194.3458942244
"273" 20 10 38215.45455057 -4419.02872462573
"274" 20 11 38215.45455057 -2825.99887949924
"275" 20 12 38215.45455057 -2145.47010578999
"276" 20 13 38215.45455057 -579.711452067371
"277" 20 14 38215.45455057 -1944.81230560867
"278" 20 15 38215.45455057 -2466.51924457498
"279" 20 16 38215.45455057 3537.11607847777
"280" 20 17 38215.45455057 2358.36797084905
"281" 20 7 41259.25620387 -3623.37699150096
"282" 20 9 41259.25620387 -3771.30279771484
"283" 20 10 41259.25620387 -3797.97516993185
"284" 20 11 41259.25620387 -2135.67429497893
"285" 20 12 41259.25620387 -1468.4074644453
"286" 20 13 41259.25620387 -94.4162539736803
"287" 20 14 41259.25620387 -1580.79327915615
"288" 20 15 41259.25620387 -1912.99728502568
"289" 20 16 41259.25620387 3601.5023287824
"290" 20 17 41259.25620387 2616.5267845319
"291" 20 7 42602.72727843 -4401.64864856211
"292" 20 9 42602.72727843 -4731.07047311637
"293" 20 10 42602.72727843 -4862.10561744869
"294" 20 11 42602.72727843 -3126.65554738869
"295" 20 12 42602.72727843 -2500.50520208329
"296" 20 13 42602.72727843 -1207.07206699939
"297" 20 14 42602.72727843 -2534.68530358248
"298" 20 15 42602.72727843 -2717.51677041241
"299" 20 16 42602.72727843 2893.13949382923
"300" 20 17 42602.72727843 2039.23493966741
"301" 20 7 46192.31405577 -3476.43514057796
"302" 20 9 46192.31405577 -3626.30441394417
"303" 20 10 46192.31405577 -3735.52387229695
"304" 20 11 46192.31405577 -1994.03885017531
"305" 20 12 46192.31405577 -1384.3502703822
