"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"123" 19 12 49341.07438677 -0.129129924969593
"124" 20 12 49341.07438677 -0.161840845836002
"125" 21 12 49341.07438677 -0.164949866477225
"126" 22 12 49341.07438677 -0.181417210853128
"127" 24 12 49341.07438677 -0.0629288836873245
"128" 26 12 49341.07438677 -0.106498344055223
"129" 16 12 52489.83471777 -0.182301271691341
"130" 18 12 52489.83471777 -0.170098349138773
"131" 19 12 52489.83471777 -0.164499186393254
"132" 20 12 52489.83471777 -0.193261576103026
"133" 21 12 52489.83471777 -0.188014737795691
"134" 22 12 52489.83471777 -0.199282484691219
"135" 24 12 52489.83471777 -0.080810166455081
"136" 26 12 52489.83471777 -0.115974715067662
"137" 16 12 58787.35537977 -0.200458735198482
"138" 18 12 58787.35537977 -0.197657791762532
"139" 19 12 58787.35537977 -0.179811199644985
"140" 20 12 58787.35537977 -0.18232327654066
"141" 21 12 58787.35537977 -0.165626500123658
"142" 22 12 58787.35537977 -0.159119790319331
"143" 24 12 58787.35537977 -0.065276151771701
"144" 26 12 58787.35537977 -0.0828456568973959
"145" 16 12 67184.04959577 -0.110666324183296
"146" 18 12 67184.04959577 -0.0920208693688277
"147" 19 12 67184.04959577 -0.0738695087881857
"148" 20 12 67184.04959577 -0.0762101565199793
"149" 21 12 67184.04959577 -0.0632413375400101
"150" 22 12 67184.04959577 -0.0659907532643383
"151" 24 12 67184.04959577 0.0155895494292699
"152" 26 12 67184.04959577 -0.00140629499356678
"153" 16 12 96572.47935177 -0.0123999980589366
"154" 18 12 96572.47935177 0.0244165001142018
"155" 19 12 96572.47935177 0.026815965922645
"156" 20 12 96572.47935177 0.00971314754016115
"157" 21 12 96572.47935177 -0.00998653098425512
"158" 22 12 96572.47935177 -0.0277189304242173
"159" 24 12 96572.47935177 0.0180926220872096
"160" 26 12 96572.47935177 0.0123560263137194
"161" 20 7 0 -0.154927053687735
"162" 20 9 0 -0.0748451411374701
"163" 20 10 0 -0.0820652542973869
"164" 20 11 0 -0.0756166766063158
"165" 20 12 0 -0.116729468391066
"166" 20 13 0 -0.0742682980408983
"167" 20 14 0 -0.0566317172831031
"168" 20 15 0 -0.0784718718934106
"169" 20 16 0 -0.0468173523488323
"170" 20 17 0 -0.0782197179944654
"171" 20 7 6308.01652977 -0.247805201219595
"172" 20 9 6308.01652977 -0.193452851816888
"173" 20 10 6308.01652977 -0.218326237760089
"174" 20 11 6308.01652977 -0.210200808107614
"175" 20 12 6308.01652977 -0.278251248907961
"176" 20 13 6308.01652977 -0.226595468057283
"177" 20 14 6308.01652977 -0.22350390282841
"178" 20 15 6308.01652977 -0.267518443576686
"179" 20 16 6308.01652977 -0.222165865065738
"180" 20 17 6308.01652977 -0.247974034388132
"181" 20 7 14200.90909281 -0.223185639184487
"182" 20 9 14200.90909281 -0.162301841961486
"183" 20 10 14200.90909281 -0.185922441763274
"184" 20 11 14200.90909281 -0.163281747034923
"185" 20 12 14200.90909281 -0.214495660983761
"186" 20 13 14200.90909281 -0.171900082698139
"187" 20 14 14200.90909281 -0.180657406731589
"188" 20 15 14200.90909281 -0.226968316748459
"189" 20 16 14200.90909281 -0.183825697638362
"190" 20 17 14200.90909281 -0.226017723971666
"191" 20 7 18567.19008513 -0.194684840787586
"192" 20 9 18567.19008513 -0.102174755252836
"193" 20 10 18567.19008513 -0.117901080085243
"194" 20 11 18567.19008513 -0.0852094421292221
"195" 20 12 18567.19008513 -0.127581193351834
"196" 20 13 18567.19008513 -0.081288734968419
"197" 20 14 18567.19008513 -0.0938248202791066
"198" 20 15 18567.19008513 -0.154265217838136
"199" 20 16 18567.19008513 -0.111412856162905
"200" 20 17 18567.19008513 -0.17385759704482
"201" 20 7 21002.23140777 -0.226493689501769
"202" 20 9 21002.23140777 -0.136631205715143
