"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.433826661464633,44,101.422996575297,1,1,1,0,0,14045,0.09,81,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,40000,3
0.475358735182325,43,90.4579990173259,1,0,0,0,0,1065,0.95,64,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,20000,2
0.808638943132279,48,59.3590012052487,1,0,1,1,0,3000,0.5,23,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,25000,4
0.429176854835367,48,111.842005129594,1,0,0,0,0,2616,0.31,64,0,1,0,0,1,0,0,0,0,0,1,2,1,1,1,10000,2
0.55417994851092,47,84.8099974138164,0,0,0,0,0,1288,1,64,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,35000,4
0.391716046611517,46,117.432003099991,1,1,1,1,1,1047,1,43,0,0,1,0,0,1,0,0,0,1,0,4,1,1,1,30000,2
0.394924812169195,47,119.009995198438,0,0,0,0,1,200,1,57,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,25000,4
0.535136869705388,47,87.8279981453626,0,1,1,0,0,1000,0.5,57,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,40000,3
0.630119723096074,48,76.1759999578389,0,1,1,0,0,1806,0.5,49,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,35000,3
0.415892660110395,45,108.200995872481,1,0,0,0,0,2181,0.91,75,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,40000,2
0.729239454949349,48,65.8220008177341,1,1,0,0,1,910,0.5,34,0,1,0,0,1,0,0,1,0,0,0,4,1,1,1,15000,3
0.381739583538807,46,120.500995923897,0,1,0,0,0,2444,0.47,76,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,30000,3
0.574111405378423,45,78.3819996927921,1,0,0,0,0,2200,0.5,38,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,20000,4
0.538163818749948,47,87.334001957196,0,1,1,1,1,1480,0.51,64,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,30000,1
0.42227240071818,43,101.830003397967,1,0,1,0,0,27,1,26,0,1,0,0,1,0,0,1,0,0,0,2,1,0,1,10000,3
0.545714994837126,48,87.9580008871226,0,0,0,0,0,1710,1,62,1,0,0,1,1,0,0,1,0,0,0,3,0,1,1,15000,4
0.533946199816105,46,86.1510017598079,0,0,1,0,1,2000,1,69,1,1,0,0,0,0,1,0,0,0,1,2,1,0,1,35000,3
0.356394711089677,41,115.040988893024,1,0,0,0,0,2750,0.76,72,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,40000,2
0.468809227778955,47,100.253999313684,1,0,0,0,0,13896,0.31,72,1,1,0,0,0,0,1,1,0,0,0,5,1,1,1,5000,4
0.319543434200286,43,134.566995900307,0,1,1,1,1,1362,1,71,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,20000,3
0.584482626609191,47,80.4129975131428,1,0,0,0,0,1850,0.53,31,1,1,0,0,1,0,0,1,0,0,0,6,1,1,0,25000,3
0.567422833188469,48,84.5930004795152,0,0,0,1,1,1200,0.5,53,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,30000,3
0.27050995167074,36,133.081980081156,0,0,0,0,0,2049,0.61,81,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,35000,3
0.307444567260116,42,136.609992410325,0,1,1,0,0,1561,1,76,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,20000,2
0.449485476390008,47,104.564001438879,0,0,0,0,0,1524,1,80,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,20000,4
0.405967750430998,40,98.5299939651209,1,0,0,0,0,2354,0.25,89,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,40000,3
0.455645118171227,42,92.176999873434,1,0,0,0,0,1400,0.71,70,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,15000,2
0.519272582255896,48,92.4370006047146,0,1,1,1,1,650,0.69,21,0,0,0,0,1,0,0,1,0,0,0,5,0,1,1,5000,2
0.444020969886969,48,108.103002460039,0,0,0,0,1,2203,0.27,73,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,35000,3
0.499105764599932,48,96.1720008152488,1,0,1,1,1,1220,0.15,66,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,20000,4
0.437435760997025,40,91.4419980406496,0,0,0,1,1,720,1,52,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,10000,1
0.565450940452262,38,67.2030007936791,1,0,0,0,0,2000,1,39,0,1,0,0,1,0,0,0,0,0,0,5,0,1,1,30000,4
0.472482781482385,48,101.591003696268,1,0,1,1,0,1600,1,32,0,1,0,0,1,0,0,0,0,0,0,3,0,1,1,25000,4
